Reporter Identifier	VALUE
ILMN_1678765	6.762529503
ILMN_2404512	7.383327266
ILMN_1727091	7.150524852
ILMN_1671971	10.83350484
ILMN_1670093	6.574479104
ILMN_1748968	8.446986679
ILMN_1821624	6.509949527
ILMN_2094718	15.34360908
ILMN_1731476	6.541103113
ILMN_1783266	6.669543065
ILMN_1752008	6.215314187
ILMN_1911269	6.575945656
ILMN_1702120	6.708423156
ILMN_1668895	6.347625072
ILMN_1734194	8.261966899
ILMN_2046315	6.56840253
ILMN_1878252	6.334372728
ILMN_1767362	6.794177896
ILMN_1751097	10.56302474
ILMN_1811316	6.65835099
ILMN_2322356	6.472051882
ILMN_1854724	6.336490548
ILMN_1666617	6.507021779
ILMN_1690954	6.073928326
ILMN_2208903	6.557437138
ILMN_1676731	7.210034337
ILMN_1880608	6.534844196
ILMN_1723837	6.699205829
ILMN_1768394	9.35643208
ILMN_1659678	6.450788817
ILMN_1694140	6.961167973
ILMN_1875897	6.371174244
ILMN_2250923	6.555187165
ILMN_2052163	9.021282825
ILMN_1665180	6.437883087
ILMN_1786722	7.746678511
ILMN_1828257	6.609430983
ILMN_1764061	6.792161532
ILMN_1846669	6.245182352
ILMN_1850516	6.395751613
ILMN_1733667	8.334973439
ILMN_1781479	10.35350779
ILMN_1758287	6.299598795
ILMN_1776552	8.165417894
ILMN_1884929	6.592770182
ILMN_1884246	6.530262582
ILMN_1868100	6.386035804
ILMN_1733684	6.458840953
ILMN_1766425	6.704379572
ILMN_1909227	6.272958583
ILMN_1683859	12.07741656
ILMN_1691432	9.312303067
ILMN_1708248	6.516419068
ILMN_1697922	6.563320855
ILMN_1860918	6.499032898
ILMN_1867134	7.020104669
ILMN_1894890	6.694238571
ILMN_1732566	6.610033409
ILMN_2358760	6.352145527
ILMN_1869442	6.405369687
ILMN_1902929	7.524187598
ILMN_1701230	6.447617479
ILMN_2160209	6.383571749
ILMN_1788778	7.913223077
ILMN_1879039	6.53675393
ILMN_1775962	7.567201745
ILMN_2160124	6.724552647
ILMN_1894223	6.565247949
ILMN_1848659	6.568740494
ILMN_2294976	7.313162443
ILMN_1886535	6.299134411
ILMN_1713800	6.485255824
ILMN_1821076	6.427686398
ILMN_1708337	6.518264548
ILMN_1756407	6.587369991
ILMN_1793831	6.555713225
ILMN_1871361	6.778310049
ILMN_1760992	6.809587701
ILMN_1695945	9.865820612
ILMN_1667309	6.362426332
ILMN_1734827	7.727848535
ILMN_1669565	6.531004396
ILMN_1916352	6.980004077
ILMN_1875692	6.467479684
ILMN_1885621	6.403032636
ILMN_1706266	6.835324546
ILMN_1799031	6.451740391
ILMN_2122952	10.38605693
ILMN_1676042	6.361666975
ILMN_2077504	6.666910954
ILMN_1729318	9.674344165
ILMN_1738957	6.422453358
ILMN_2375599	8.712583037
ILMN_1800750	8.74773317
ILMN_1900263	6.985115622
ILMN_2200915	6.438009059
ILMN_1784981	6.040609617
ILMN_1813043	6.44396482
ILMN_1894821	6.876885859
ILMN_1670881	7.682078811
ILMN_1693014	13.76687814
ILMN_1893603	6.54635182
ILMN_1804738	6.639246161
ILMN_1850877	6.506590882
ILMN_1800197	10.5936578
ILMN_1705210	6.681364739
ILMN_1883404	6.35110271
ILMN_1916901	6.290328323
ILMN_1692844	7.223185034
ILMN_1738825	6.746407382
ILMN_1721986	6.691171271
ILMN_1852964	6.599130665
ILMN_2339748	8.044851627
ILMN_2164242	10.05768677
ILMN_1657056	6.709386085
ILMN_1665554	9.371221993
ILMN_1819971	6.602229649
ILMN_1682336	9.492447494
ILMN_1730236	6.411735351
ILMN_1720274	6.444328185
ILMN_1899719	6.431229618
ILMN_1867479	6.334223675
ILMN_1679476	10.54832445
ILMN_1723042	6.49708756
ILMN_1655485	7.466143125
ILMN_1855858	6.437977568
ILMN_1762424	6.653577772
ILMN_1694477	6.370604486
ILMN_1772455	10.17471972
ILMN_1845657	6.943966435
ILMN_1722622	6.926126689
ILMN_1846907	6.311146771
ILMN_1747831	6.162632756
ILMN_1801605	7.63507006
ILMN_2068435	9.058442532
ILMN_2294431	7.638363339
ILMN_1730809	7.507895066
ILMN_1744045	6.557280972
ILMN_1652963	6.473923468
ILMN_1653876	6.787403918
ILMN_1664320	6.805469227
